city,state_abbr,r_elec_class,r_gas_class,c_elec_class,c_gas_class,i_elec_class,i_gas_class
Adak,AK,1,1,0.0,0.0,0.0,0.0
Akhiok,AK,1,1,0.0,0.0,0.0,0.0
Akiak,AK,1,1,0.0,0.0,0.0,0.0
Akutan,AK,1,1,0.0,0.0,3.0,2.0
Alakanuk,AK,1,1,0.0,0.0,0.0,0.0
Aleknagik,AK,1,1,0.0,0.0,0.0,0.0
Allakaket,AK,1,1,0.0,0.0,0.0,0.0
Ambler,AK,1,1,0.0,0.0,0.0,0.0
Anaktuvuk Pass,AK,1,1,0.0,0.0,0.0,0.0
Anchorage,AK,3,3,1.0,1.0,1.0,3.0
Anderson,AK,1,1,1.0,1.0,0.0,0.0
Angoon,AK,1,1,1.0,1.0,0.0,0.0
Aniak,AK,1,1,0.0,0.0,0.0,0.0
Anvik,AK,1,1,0.0,0.0,0.0,0.0
Atka,AK,1,1,0.0,0.0,0.0,0.0
Atqasuk,AK,1,1,0.0,0.0,0.0,0.0
Barrow,AK,1,1,0.0,0.0,0.0,0.0
Bethel,AK,1,1,1.0,1.0,1.0,1.0
Bettles,AK,1,1,0.0,0.0,0.0,0.0
Brevig Mission,AK,1,1,1.0,1.0,0.0,0.0
Buckland,AK,1,1,0.0,0.0,0.0,0.0
Chefornak,AK,1,1,0.0,0.0,0.0,0.0
Chevak,AK,1,1,0.0,0.0,0.0,0.0
Chignik,AK,1,1,0.0,0.0,1.0,1.0
Chuathbaluk,AK,1,1,0.0,0.0,0.0,0.0
Clark's Point,AK,1,1,0.0,0.0,0.0,0.0
Coffman Cove,AK,1,1,1.0,1.0,0.0,0.0
Cold Bay,AK,1,1,1.0,1.0,0.0,0.0
Cordova,AK,1,1,0.0,0.0,1.0,1.0
Craig,AK,1,1,1.0,1.0,1.0,1.0
Deering,AK,1,1,0.0,0.0,0.0,0.0
Delta Junction,AK,1,1,1.0,1.0,0.0,0.0
Dillingham,AK,1,1,2.0,1.0,1.0,1.0
Diomede,AK,1,1,1.0,1.0,0.0,0.0
Eagle,AK,1,1,0.0,0.0,0.0,0.0
Eek,AK,1,1,0.0,0.0,0.0,0.0
Egegik,AK,1,1,0.0,0.0,1.0,1.0
Ekwok,AK,1,1,0.0,0.0,0.0,0.0
Elim,AK,1,1,0.0,0.0,0.0,0.0
Emmonak,AK,1,1,0.0,0.0,1.0,1.0
Fairbanks,AK,2,1,1.0,1.0,1.0,1.0
False Pass,AK,1,1,0.0,0.0,0.0,0.0
Fort Yukon,AK,1,1,1.0,1.0,0.0,0.0
Galena,AK,1,1,1.0,1.0,0.0,0.0
Gambell,AK,1,1,1.0,1.0,0.0,0.0
Golovin,AK,1,1,0.0,0.0,0.0,0.0
Goodnews Bay,AK,1,1,0.0,0.0,0.0,0.0
Grayling,AK,1,1,0.0,0.0,0.0,0.0
Gustavus,AK,1,1,1.0,1.0,0.0,0.0
Holy Cross,AK,1,1,0.0,0.0,0.0,0.0
Homer,AK,1,1,1.0,1.0,2.0,1.0
Hoonah,AK,1,1,1.0,1.0,0.0,0.0
Hooper Bay,AK,1,1,0.0,0.0,0.0,0.0
Hughes,AK,1,1,1.0,1.0,0.0,0.0
Huslia,AK,1,1,1.0,1.0,0.0,0.0
Hydaburg,AK,1,1,1.0,1.0,0.0,0.0
Juneau,AK,3,1,1.0,1.0,2.0,2.0
Kachemak,AK,1,1,0.0,0.0,0.0,0.0
Kake,AK,1,1,0.0,0.0,0.0,0.0
Kaktovik,AK,1,1,0.0,0.0,0.0,0.0
Kaltag,AK,1,1,0.0,0.0,0.0,0.0
Kasaan,AK,1,1,1.0,1.0,0.0,0.0
Kenai,AK,1,1,1.0,1.0,1.0,1.0
Ketchikan,AK,1,1,1.0,1.0,1.0,1.0
Kiana,AK,1,1,0.0,0.0,0.0,0.0
King Cove,AK,1,1,1.0,1.0,1.0,1.0
Kivalina,AK,1,1,0.0,0.0,0.0,0.0
Klawock,AK,1,1,1.0,1.0,0.0,0.0
Kobuk,AK,1,1,0.0,0.0,0.0,0.0
Kodiak,AK,1,1,0.0,0.0,2.0,1.0
Kotlik,AK,1,1,0.0,0.0,0.0,0.0
Kotzebue,AK,1,1,1.0,1.0,0.0,0.0
Koyuk,AK,1,1,0.0,0.0,0.0,0.0
Koyukuk,AK,1,1,0.0,0.0,0.0,0.0
Kupreanof,AK,1,1,0.0,0.0,0.0,0.0
Kwethluk,AK,1,1,0.0,0.0,0.0,0.0
Larsen Bay,AK,1,1,0.0,0.0,0.0,0.0
Lower Kalskag,AK,1,1,0.0,0.0,0.0,0.0
Manokotak,AK,1,1,0.0,0.0,0.0,0.0
Marshall,AK,1,1,0.0,0.0,0.0,0.0
McGrath,AK,1,1,0.0,0.0,0.0,0.0
Mekoryuk,AK,1,1,0.0,0.0,0.0,0.0
Mountain Village,AK,1,1,0.0,0.0,0.0,0.0
Napakiak,AK,1,1,0.0,0.0,0.0,0.0
Napaskiak,AK,1,1,0.0,0.0,0.0,0.0
Nenana,AK,1,1,1.0,1.0,0.0,0.0
New Stuyahok,AK,1,1,0.0,0.0,0.0,0.0
Newhalen,AK,1,1,0.0,0.0,0.0,0.0
Nightmute,AK,1,1,0.0,0.0,0.0,0.0
Nikolai,AK,1,1,0.0,0.0,0.0,0.0
Nome,AK,1,1,1.0,1.0,2.0,1.0
Nondalton,AK,1,1,0.0,0.0,0.0,0.0
Noorvik,AK,1,1,0.0,0.0,0.0,0.0
North Pole,AK,1,1,1.0,1.0,3.0,2.0
Nuiqsut,AK,1,1,0.0,0.0,0.0,0.0
Nulato,AK,1,1,0.0,0.0,0.0,0.0
Nunam Iqua,AK,1,1,0.0,0.0,0.0,0.0
Nunapitchuk,AK,1,1,0.0,0.0,0.0,0.0
Old Harbor,AK,1,1,0.0,0.0,0.0,0.0
Ouzinkie,AK,1,1,0.0,0.0,0.0,0.0
Palmer,AK,1,1,0.0,0.0,1.0,1.0
Pelican,AK,1,1,0.0,0.0,0.0,0.0
Petersburg,AK,1,1,1.0,1.0,1.0,1.0
Pilot Point,AK,1,1,0.0,0.0,0.0,0.0
Pilot Station,AK,1,1,0.0,0.0,0.0,0.0
Platinum,AK,1,1,0.0,0.0,0.0,0.0
Point Hope,AK,1,1,0.0,0.0,0.0,0.0
Port Alexander,AK,1,1,0.0,0.0,0.0,0.0
Port Heiden,AK,1,1,0.0,0.0,0.0,0.0
Port Lions,AK,1,1,0.0,0.0,0.0,0.0
Quinhagak,AK,1,1,1.0,1.0,0.0,0.0
Ruby,AK,1,1,1.0,1.0,0.0,0.0
Russian Mission,AK,1,1,0.0,0.0,0.0,0.0
Sand Point,AK,1,1,1.0,1.0,0.0,0.0
Savoonga,AK,1,1,0.0,0.0,0.0,0.0
Saxman,AK,1,1,1.0,1.0,0.0,0.0
Scammon Bay,AK,1,1,0.0,0.0,0.0,0.0
Selawik,AK,1,1,0.0,0.0,0.0,0.0
Seldovia,AK,1,1,0.0,0.0,0.0,0.0
Seward,AK,1,1,0.0,0.0,1.0,1.0
Shageluk,AK,1,1,0.0,0.0,0.0,0.0
Shaktoolik,AK,1,1,0.0,0.0,0.0,0.0
Shishmaref,AK,1,1,1.0,1.0,0.0,0.0
Shungnak,AK,1,1,0.0,0.0,0.0,0.0
Sitka,AK,1,1,1.0,1.0,1.0,1.0
Soldotna,AK,1,1,0.0,0.0,2.0,1.0
St. George,AK,1,1,0.0,0.0,0.0,0.0
St. Mary's,AK,1,1,0.0,0.0,0.0,0.0
St. Michael,AK,1,1,0.0,0.0,0.0,0.0
St. Paul,AK,1,1,1.0,1.0,0.0,0.0
Stebbins,AK,1,1,0.0,0.0,0.0,0.0
Tanana,AK,1,1,0.0,0.0,0.0,0.0
Teller,AK,1,1,0.0,0.0,0.0,0.0
Tenakee Springs,AK,1,1,0.0,0.0,0.0,0.0
Thorne Bay,AK,1,1,1.0,1.0,1.0,1.0
Togiak,AK,1,1,0.0,0.0,0.0,0.0
Toksook Bay,AK,1,1,1.0,1.0,0.0,0.0
Unalakleet,AK,1,1,1.0,1.0,2.0,1.0
Unalaska,AK,1,1,2.0,1.0,3.0,2.0
Upper Kalskag,AK,1,1,0.0,0.0,0.0,0.0
Valdez,AK,1,1,0.0,0.0,1.0,1.0
Wainwright,AK,1,1,0.0,0.0,0.0,0.0
Wales,AK,1,1,1.0,1.0,0.0,0.0
Wasilla,AK,1,1,1.0,1.0,1.0,1.0
White Mountain,AK,1,1,0.0,0.0,0.0,0.0
Whittier,AK,1,1,0.0,0.0,0.0,0.0
Wrangell,AK,1,1,0.0,0.0,1.0,1.0
Abbeville,AL,1,1,0.0,0.0,0.0,0.0
Adamsville,AL,1,1,0.0,0.0,0.0,0.0
Addison,AL,1,1,0.0,0.0,0.0,0.0
Akron,AL,1,1,0.0,0.0,0.0,0.0
Alabaster,AL,3,1,0.0,0.0,0.0,0.0
Albertville,AL,3,1,0.0,0.0,0.0,0.0
Alexander City,AL,2,1,0.0,0.0,0.0,0.0
Aliceville,AL,1,1,0.0,0.0,0.0,0.0
Allgood,AL,1,1,0.0,0.0,0.0,0.0
Altoona,AL,1,1,0.0,0.0,0.0,0.0
Andalusia,AL,1,1,0.0,0.0,0.0,0.0
Anderson,AL,1,1,0.0,0.0,0.0,0.0
Anniston,AL,3,1,0.0,0.0,0.0,0.0
Arab,AL,1,1,0.0,0.0,0.0,0.0
Ardmore,AL,1,1,0.0,0.0,0.0,0.0
Argo,AL,1,1,0.0,0.0,0.0,0.0
Ariton,AL,1,1,0.0,0.0,0.0,0.0
Arley,AL,1,1,0.0,0.0,0.0,0.0
Ashford,AL,1,1,0.0,0.0,0.0,0.0
Ashland,AL,1,1,0.0,0.0,0.0,0.0
Ashville,AL,1,1,0.0,0.0,0.0,0.0
Athens,AL,3,1,0.0,0.0,0.0,0.0
Atmore,AL,1,1,0.0,0.0,0.0,0.0
Attalla,AL,1,1,0.0,0.0,0.0,0.0
Auburn,AL,3,1,0.0,0.0,0.0,0.0
Autaugaville,AL,1,1,0.0,0.0,0.0,0.0
Avon,AL,1,1,0.0,0.0,0.0,0.0
Babbie,AL,1,1,0.0,0.0,0.0,0.0
Baileyton,AL,1,1,0.0,0.0,0.0,0.0
Bakerhill,AL,1,1,0.0,0.0,0.0,0.0
Banks,AL,1,1,0.0,0.0,0.0,0.0
Bay Minette,AL,1,1,0.0,0.0,0.0,0.0
Bayou La Batre,AL,1,1,0.0,0.0,0.0,0.0
Bear Creek,AL,1,1,0.0,0.0,0.0,0.0
Beatrice,AL,1,1,0.0,0.0,0.0,0.0
Beaverton,AL,1,1,0.0,0.0,0.0,0.0
Belk,AL,1,1,0.0,0.0,0.0,0.0
Benton,AL,1,1,0.0,0.0,0.0,0.0
Berry,AL,1,1,0.0,0.0,0.0,0.0
Bessemer,AL,3,1,0.0,0.0,0.0,0.0
Billingsley,AL,1,1,0.0,0.0,0.0,0.0
Birmingham,AL,3,3,0.0,0.0,0.0,0.0
Black,AL,1,1,0.0,0.0,0.0,0.0
Blountsville,AL,1,1,0.0,0.0,0.0,0.0
Blue Springs,AL,1,1,0.0,0.0,0.0,0.0
Boaz,AL,2,1,0.0,0.0,0.0,0.0
Boligee,AL,1,1,0.0,0.0,0.0,0.0
Bon Air,AL,1,1,0.0,0.0,0.0,0.0
Brantley,AL,1,1,0.0,0.0,0.0,0.0
Brent,AL,1,1,0.0,0.0,0.0,0.0
Brewton,AL,1,1,0.0,0.0,0.0,0.0
Bridgeport,AL,1,1,0.0,0.0,0.0,0.0
Brighton,AL,1,1,0.0,0.0,0.0,0.0
Brilliant,AL,1,1,0.0,0.0,0.0,0.0
Brookside,AL,1,1,0.0,0.0,0.0,0.0
Brookwood,AL,1,1,0.0,0.0,0.0,0.0
Brundidge,AL,1,1,0.0,0.0,0.0,0.0
Butler,AL,1,1,0.0,0.0,0.0,0.0
Calera,AL,2,1,0.0,0.0,0.0,0.0
Camden,AL,1,1,0.0,0.0,0.0,0.0
Camp Hill,AL,1,1,0.0,0.0,0.0,0.0
Carbon Hill,AL,1,1,0.0,0.0,0.0,0.0
Cardiff,AL,1,1,0.0,0.0,0.0,0.0
Carolina,AL,1,1,0.0,0.0,0.0,0.0
Carrollton,AL,1,1,0.0,0.0,0.0,0.0
Castleberry,AL,1,1,0.0,0.0,0.0,0.0
Cedar Bluff,AL,1,1,0.0,0.0,0.0,0.0
Center Point,AL,2,1,0.0,0.0,0.0,0.0
Centre,AL,1,1,0.0,0.0,0.0,0.0
Centreville,AL,1,1,0.0,0.0,0.0,0.0
Century,AL,1,1,0.0,0.0,0.0,0.0
Chatom,AL,1,1,0.0,0.0,0.0,0.0
Chelsea,AL,2,1,0.0,0.0,0.0,0.0
Cherokee,AL,1,1,0.0,0.0,0.0,0.0
Chickasaw,AL,1,1,0.0,0.0,0.0,0.0
Childersburg,AL,1,1,0.0,0.0,0.0,0.0
Citronelle,AL,1,1,0.0,0.0,0.0,0.0
Clanton,AL,2,1,0.0,0.0,0.0,0.0
Clay,AL,2,1,0.0,0.0,0.0,0.0
Clayhatchee,AL,1,1,0.0,0.0,0.0,0.0
Clayton,AL,1,1,0.0,0.0,0.0,0.0
Cleveland,AL,1,1,0.0,0.0,0.0,0.0
Clio,AL,1,1,0.0,0.0,0.0,0.0
Coaling,AL,1,1,0.0,0.0,0.0,0.0
Coffee Springs,AL,1,1,0.0,0.0,0.0,0.0
Coffeeville,AL,1,1,0.0,0.0,0.0,0.0
Coker,AL,1,1,0.0,0.0,0.0,0.0
Collinsville,AL,1,1,0.0,0.0,0.0,0.0
Colony,AL,1,1,0.0,0.0,0.0,0.0
Columbia,AL,1,1,0.0,0.0,0.0,0.0
Columbiana,AL,1,1,0.0,0.0,0.0,0.0
Columbus,AL,3,3,0.0,0.0,0.0,0.0
Coosada,AL,1,1,0.0,0.0,0.0,0.0
Cordova,AL,1,1,0.0,0.0,0.0,0.0
Cottonwood,AL,1,1,0.0,0.0,0.0,0.0
County Line,AL,1,1,0.0,0.0,0.0,0.0
Courtland,AL,1,1,0.0,0.0,0.0,0.0
Cowarts,AL,1,1,0.0,0.0,0.0,0.0
Creola,AL,1,1,0.0,0.0,0.0,0.0
Crossville,AL,1,1,0.0,0.0,0.0,0.0
Cuba,AL,1,1,0.0,0.0,0.0,0.0
Cullman,AL,2,1,0.0,0.0,0.0,0.0
Cusseta,AL,1,1,0.0,0.0,0.0,0.0
Cusseta-Chattahoochee County,AL,1,1,0.0,0.0,0.0,0.0
Dadeville,AL,1,1,0.0,0.0,0.0,0.0
Daleville,AL,1,1,0.0,0.0,0.0,0.0
Daphne,AL,3,1,0.0,0.0,0.0,0.0
Dauphin Island,AL,1,1,0.0,0.0,0.0,0.0
Daviston,AL,1,1,0.0,0.0,0.0,0.0
Dayton,AL,1,1,0.0,0.0,0.0,0.0
Deatsville,AL,1,1,0.0,0.0,0.0,0.0
Decatur,AL,3,1,0.0,0.0,0.0,0.0
Demopolis,AL,1,1,0.0,0.0,0.0,0.0
Detroit,AL,1,1,0.0,0.0,0.0,0.0
Dodge City,AL,1,1,0.0,0.0,0.0,0.0
Dora,AL,1,1,0.0,0.0,0.0,0.0
Dothan,AL,3,1,0.0,0.0,0.0,0.0
Double Springs,AL,1,1,0.0,0.0,0.0,0.0
Douglas,AL,1,1,0.0,0.0,0.0,0.0
Dozier,AL,1,1,0.0,0.0,0.0,0.0
Dutton,AL,1,1,0.0,0.0,0.0,0.0
East Brewton,AL,1,1,0.0,0.0,0.0,0.0
Eclectic,AL,1,1,0.0,0.0,0.0,0.0
Edwardsville,AL,1,1,0.0,0.0,0.0,0.0
Elba,AL,1,1,0.0,0.0,0.0,0.0
Elberta,AL,1,1,0.0,0.0,0.0,0.0
Eldridge,AL,1,1,0.0,0.0,0.0,0.0
Elkmont,AL,1,1,0.0,0.0,0.0,0.0
Elmore,AL,1,1,0.0,0.0,0.0,0.0
Emelle,AL,1,1,0.0,0.0,0.0,0.0
Enterprise,AL,3,1,0.0,0.0,0.0,0.0
Epes,AL,1,1,0.0,0.0,0.0,0.0
Esto,AL,1,1,0.0,0.0,0.0,0.0
Ethelsville,AL,1,1,0.0,0.0,0.0,0.0
Eufaula,AL,2,1,0.0,0.0,0.0,0.0
Eutaw,AL,1,1,0.0,0.0,0.0,0.0
Eva,AL,1,1,0.0,0.0,0.0,0.0
Evergreen,AL,1,1,0.0,0.0,0.0,0.0
Excel,AL,1,1,0.0,0.0,0.0,0.0
Fairfield,AL,2,1,0.0,0.0,0.0,0.0
Fairhope,AL,2,1,0.0,0.0,0.0,0.0
Fairview,AL,1,1,0.0,0.0,0.0,0.0
Falkville,AL,1,1,0.0,0.0,0.0,0.0
Faunsdale,AL,1,1,0.0,0.0,0.0,0.0
Fayette,AL,1,1,0.0,0.0,0.0,0.0
Five Points,AL,1,1,0.0,0.0,0.0,0.0
Flomaton,AL,1,1,0.0,0.0,0.0,0.0
Florala,AL,1,1,0.0,0.0,0.0,0.0
Florence,AL,3,1,0.0,0.0,0.0,0.0
Foley,AL,3,1,0.0,0.0,0.0,0.0
Forkland,AL,1,1,0.0,0.0,0.0,0.0
Fort Deposit,AL,1,1,0.0,0.0,0.0,0.0
Fort Gaines,AL,1,1,0.0,0.0,0.0,0.0
Fort Payne,AL,2,1,0.0,0.0,0.0,0.0
Franklin,AL,1,1,0.0,0.0,0.0,0.0
Frisco City,AL,1,1,0.0,0.0,0.0,0.0
Fruithurst,AL,1,1,0.0,0.0,0.0,0.0
Fulton,AL,1,1,0.0,0.0,0.0,0.0
Fultondale,AL,1,1,0.0,0.0,0.0,0.0
Fyffe,AL,1,1,0.0,0.0,0.0,0.0
Gadsden,AL,3,1,0.0,0.0,0.0,0.0
Gainesville,AL,1,1,0.0,0.0,0.0,0.0
Gantt,AL,1,1,0.0,0.0,0.0,0.0
Garden City,AL,1,1,0.0,0.0,0.0,0.0
Gardendale,AL,2,1,0.0,0.0,0.0,0.0
Gattman,AL,1,1,0.0,0.0,0.0,0.0
Gaylesville,AL,1,1,0.0,0.0,0.0,0.0
Geiger,AL,1,1,0.0,0.0,0.0,0.0
Geneva,AL,1,1,0.0,0.0,0.0,0.0
Georgetown-Quitman County,AL,1,1,0.0,0.0,0.0,0.0
Georgiana,AL,1,1,0.0,0.0,0.0,0.0
Geraldine,AL,1,1,0.0,0.0,0.0,0.0
Gilbertown,AL,1,1,0.0,0.0,0.0,0.0
Glen Allen,AL,1,1,0.0,0.0,0.0,0.0
Glencoe,AL,1,1,0.0,0.0,0.0,0.0
Glenwood,AL,1,1,0.0,0.0,0.0,0.0
Goldville,AL,1,1,0.0,0.0,0.0,0.0
Good Hope,AL,1,1,0.0,0.0,0.0,0.0
Goodwater,AL,1,1,0.0,0.0,0.0,0.0
Gordo,AL,1,1,0.0,0.0,0.0,0.0
Gordon,AL,1,1,0.0,0.0,0.0,0.0
Gordonville,AL,1,1,0.0,0.0,0.0,0.0
Goshen,AL,1,1,0.0,0.0,0.0,0.0
Grant,AL,1,1,0.0,0.0,0.0,0.0
Graysville,AL,1,1,0.0,0.0,0.0,0.0
Greensboro,AL,1,1,0.0,0.0,0.0,0.0
Greenville,AL,1,1,0.0,0.0,0.0,0.0
Grimes,AL,1,1,0.0,0.0,0.0,0.0
Grove Hill,AL,1,1,0.0,0.0,0.0,0.0
Gu-Win,AL,1,1,0.0,0.0,0.0,0.0
Guin,AL,1,1,0.0,0.0,0.0,0.0
Gulf Shores,AL,2,1,0.0,0.0,0.0,0.0
Guntersville,AL,1,1,0.0,0.0,0.0,0.0
Gurley,AL,1,1,0.0,0.0,0.0,0.0
Hackleburg,AL,1,1,0.0,0.0,0.0,0.0
Haleburg,AL,1,1,0.0,0.0,0.0,0.0
Haleyville,AL,1,1,0.0,0.0,0.0,0.0
Hamilton,AL,1,1,0.0,0.0,0.0,0.0
Hammondville,AL,1,1,0.0,0.0,0.0,0.0
Hanceville,AL,1,1,0.0,0.0,0.0,0.0
Harpersville,AL,1,1,0.0,0.0,0.0,0.0
Hartford,AL,1,1,0.0,0.0,0.0,0.0
Hartselle,AL,2,1,0.0,0.0,0.0,0.0
Hayden,AL,1,1,0.0,0.0,0.0,0.0
Hayneville,AL,1,1,0.0,0.0,0.0,0.0
Headland,AL,1,1,0.0,0.0,0.0,0.0
Heath,AL,1,1,0.0,0.0,0.0,0.0
Heflin,AL,1,1,0.0,0.0,0.0,0.0
Helena,AL,3,1,0.0,0.0,0.0,0.0
Henagar,AL,1,1,0.0,0.0,0.0,0.0
Highland Lake,AL,1,1,0.0,0.0,0.0,0.0
Hillsboro,AL,1,1,0.0,0.0,0.0,0.0
Hobson City,AL,1,1,0.0,0.0,0.0,0.0
Hodges,AL,1,1,0.0,0.0,0.0,0.0
Hokes Bluff,AL,1,1,0.0,0.0,0.0,0.0
Holly Pond,AL,1,1,0.0,0.0,0.0,0.0
Hollywood,AL,1,1,0.0,0.0,0.0,0.0
Homewood,AL,3,1,0.0,0.0,0.0,0.0
Hoover,AL,3,2,0.0,0.0,0.0,0.0
Horn Hill,AL,1,1,0.0,0.0,0.0,0.0
Hueytown,AL,2,1,0.0,0.0,0.0,0.0
Huntsville,AL,3,2,0.0,0.0,0.0,0.0
Hurtsboro,AL,1,1,0.0,0.0,0.0,0.0
Hytop,AL,1,1,0.0,0.0,0.0,0.0
Ider,AL,1,1,0.0,0.0,0.0,0.0
Indian Springs Village,AL,1,1,0.0,0.0,0.0,0.0
Irondale,AL,2,1,0.0,0.0,0.0,0.0
Jackson,AL,1,1,0.0,0.0,0.0,0.0
Jacksons' Gap,AL,1,1,0.0,0.0,0.0,0.0
Jacksonville,AL,2,1,0.0,0.0,0.0,0.0
Jasper,AL,2,1,0.0,0.0,0.0,0.0
Jemison,AL,1,1,0.0,0.0,0.0,0.0
Kansas,AL,1,1,0.0,0.0,0.0,0.0
Kellyton,AL,1,1,0.0,0.0,0.0,0.0
Kennedy,AL,1,1,0.0,0.0,0.0,0.0
Killen,AL,1,1,0.0,0.0,0.0,0.0
Kimberly,AL,1,1,0.0,0.0,0.0,0.0
Kinsey,AL,1,1,0.0,0.0,0.0,0.0
Kinston,AL,1,1,0.0,0.0,0.0,0.0
La Fayette,AL,1,1,0.0,0.0,0.0,0.0
Lake View,AL,1,1,0.0,0.0,0.0,0.0
Lakeview,AL,1,1,0.0,0.0,0.0,0.0
Lanett,AL,1,1,0.0,0.0,0.0,0.0
Langston,AL,1,1,0.0,0.0,0.0,0.0
Leeds,AL,2,1,0.0,0.0,0.0,0.0
Leesburg,AL,1,1,0.0,0.0,0.0,0.0
Leighton,AL,1,1,0.0,0.0,0.0,0.0
Lester,AL,1,1,0.0,0.0,0.0,0.0
Level Plains,AL,1,1,0.0,0.0,0.0,0.0
Lexington,AL,1,1,0.0,0.0,0.0,0.0
Libertyville,AL,1,1,0.0,0.0,0.0,0.0
Lincoln,AL,1,1,0.0,0.0,0.0,0.0
Linden,AL,1,1,0.0,0.0,0.0,0.0
Lineville,AL,1,1,0.0,0.0,0.0,0.0
Lipscomb,AL,1,1,0.0,0.0,0.0,0.0
Lisman,AL,1,1,0.0,0.0,0.0,0.0
Littleville,AL,1,1,0.0,0.0,0.0,0.0
Livingston,AL,1,1,0.0,0.0,0.0,0.0
Loachapoka,AL,1,1,0.0,0.0,0.0,0.0
Lockhart,AL,1,1,0.0,0.0,0.0,0.0
Locust Fork,AL,1,1,0.0,0.0,0.0,0.0
Louisville,AL,1,1,0.0,0.0,0.0,0.0
Lowndesboro,AL,1,1,0.0,0.0,0.0,0.0
Loxley,AL,1,1,0.0,0.0,0.0,0.0
Luverne,AL,1,1,0.0,0.0,0.0,0.0
Lynn,AL,1,1,0.0,0.0,0.0,0.0
Madison,AL,3,1,0.0,0.0,0.0,0.0
Madrid,AL,1,1,0.0,0.0,0.0,0.0
Magnolia Springs,AL,1,1,0.0,0.0,0.0,0.0
Malvern,AL,1,1,0.0,0.0,0.0,0.0
Maplesville,AL,1,1,0.0,0.0,0.0,0.0
Margaret,AL,1,1,0.0,0.0,0.0,0.0
Marion,AL,1,1,0.0,0.0,0.0,0.0
Maytown,AL,1,1,0.0,0.0,0.0,0.0
McIntosh,AL,1,1,0.0,0.0,0.0,0.0
McKenzie,AL,1,1,0.0,0.0,0.0,0.0
McMullen,AL,1,1,0.0,0.0,0.0,0.0
Memphis,AL,1,1,0.0,0.0,0.0,0.0
Mentone,AL,1,1,0.0,0.0,0.0,0.0
Midfield,AL,1,1,0.0,0.0,0.0,0.0
Midland City,AL,1,1,0.0,0.0,0.0,0.0
Midway,AL,1,1,0.0,0.0,0.0,0.0
Millbrook,AL,2,1,0.0,0.0,0.0,0.0
Millport,AL,1,1,0.0,0.0,0.0,0.0
Millry,AL,1,1,0.0,0.0,0.0,0.0
Minor Hill,AL,1,1,0.0,0.0,0.0,0.0
Mobile,AL,3,3,0.0,0.0,0.0,0.0
Monroeville,AL,1,1,0.0,0.0,0.0,0.0
Montevallo,AL,1,1,0.0,0.0,0.0,0.0
Montgomery,AL,3,3,0.0,0.0,0.0,0.0
Moody,AL,2,1,0.0,0.0,0.0,0.0
Mooresville,AL,1,1,0.0,0.0,0.0,0.0
Morris,AL,1,1,0.0,0.0,0.0,0.0
Mosses,AL,1,1,0.0,0.0,0.0,0.0
Moulton,AL,1,1,0.0,0.0,0.0,0.0
Moundville,AL,1,1,0.0,0.0,0.0,0.0
Mount Vernon,AL,1,1,0.0,0.0,0.0,0.0
Mountain Brook,AL,3,1,0.0,0.0,0.0,0.0
Mulga,AL,1,1,0.0,0.0,0.0,0.0
Munford,AL,1,1,0.0,0.0,0.0,0.0
Muscle Shoals,AL,2,1,0.0,0.0,0.0,0.0
Myrtlewood,AL,1,1,0.0,0.0,0.0,0.0
Napier Field,AL,1,1,0.0,0.0,0.0,0.0
Natural Bridge,AL,1,1,0.0,0.0,0.0,0.0
Nauvoo,AL,1,1,0.0,0.0,0.0,0.0
Nectar,AL,1,1,0.0,0.0,0.0,0.0
Needham,AL,1,1,0.0,0.0,0.0,0.0
New Brockton,AL,1,1,0.0,0.0,0.0,0.0
New Hope,AL,1,1,0.0,0.0,0.0,0.0
New Site,AL,1,1,0.0,0.0,0.0,0.0
Newbern,AL,1,1,0.0,0.0,0.0,0.0
Newton,AL,1,1,0.0,0.0,0.0,0.0
Newville,AL,1,1,0.0,0.0,0.0,0.0
North Courtland,AL,1,1,0.0,0.0,0.0,0.0
North Johns,AL,1,1,0.0,0.0,0.0,0.0
Northport,AL,3,1,0.0,0.0,0.0,0.0
Notasulga,AL,1,1,0.0,0.0,0.0,0.0
Oak Grove,AL,1,1,0.0,0.0,0.0,0.0
Oak Hill,AL,1,1,0.0,0.0,0.0,0.0
Oakman,AL,1,1,0.0,0.0,0.0,0.0
Odenville,AL,1,1,0.0,0.0,0.0,0.0
Ohatchee,AL,1,1,0.0,0.0,0.0,0.0
Oneonta,AL,1,1,0.0,0.0,0.0,0.0
Onycha,AL,1,1,0.0,0.0,0.0,0.0
Opelika,AL,3,1,0.0,0.0,0.0,0.0
Opp,AL,1,1,0.0,0.0,0.0,0.0
Orange Beach,AL,1,1,0.0,0.0,0.0,0.0
Orme,AL,1,1,0.0,0.0,0.0,0.0
Orrville,AL,1,1,0.0,0.0,0.0,0.0
Owens Cross Roads,AL,1,1,0.0,0.0,0.0,0.0
Oxford,AL,3,1,0.0,0.0,0.0,0.0
Ozark,AL,2,1,0.0,0.0,0.0,0.0
Paint Rock,AL,1,1,0.0,0.0,0.0,0.0
Parrish,AL,1,1,0.0,0.0,0.0,0.0
Paxton,AL,1,1,0.0,0.0,0.0,0.0
Pelham,AL,3,1,0.0,0.0,0.0,0.0
Pell City,AL,2,1,0.0,0.0,0.0,0.0
Pennington,AL,1,1,0.0,0.0,0.0,0.0
